text,Gold Label
"Hey Reno: Team Tom is throwing a poll party near you! Head to the Downtown Reno Library on Saturday, February 15 from 11am-2pm to vote early and enjoy free tacos with Team Tom staff.

Hola Reno: ¡El Equipo Tom está organizando una fiesta en las casillas en tu vecindad! Ven a la Biblioteca en el Centro de la ciudad de Reno el sábado, 15 de febrero de 11am - 2pm para que votes temprano y disfrutes unos delicios tacos gratis con el staff del Equipo Tom.",no topic
"Join Team Tom NV for a poll party on Saturday, February 15! Drop by from 11am-2pm to cast your ballot and enjoy free tacos.

¡Acompaña al Equipo Tom en una fiesta en las casillas electorales, este sábado 15 de febrero! Llega de las 11am - 2pm para que votes temprano y disfrutes de unos tacos gratis.",no topic
This is our chance to build a future defined by unity.,no topic
"Can you rush a contribution to our campaign? We are taking on the entire damn 1 percent on this campaign, which means that as we surge in the polls in this final stretch before Nevada, South Carolina, and Super Tuesday, they will do whatever they can to bring us down. But if we stand united, we are going to win.",no topic
"Between our billionaire-funded opponents and several establishment super PACs, we are getting outspent pretty badly right now, and Bernie needs your help if we’re going to catch up and win in some pretty big states that vote soon. Can you please make a contribution to our campaign today?",governance
"We've got the billionaire class of this country very, very nervous. We won in Iowa. We won in New Hampshire. And now they want to stop us in Nevada and South Carolina and on Super Tuesday. They are already spending big on ads attacking us, and we have got to be prepared for whatever else they will throw our way. Can you rush a donation to help us fight back and win?",no topic
"The whole damn one percent is out to stop our campaign. And with Nevada voting in just a couple days and Super Tuesday around the corner, we have got to respond.

Can you make a contribution to our campaign today to show that we are more powerful than the billionaire class, and that we are going to keep winning?",no topic
"As a wealthy, white man, I recognize the privileges afforded to me: quality education, clean air and water, affordable health care, a living wage, and an equal vote. But these shouldn't be privileges -- they should be rights afforded to everyone. Join our campaign to help us create a new bill of rights for the 21st century.","education, environmental, health, economic, governance"
"Our democracy is supposed to be of, by, and for the people — not of, by, and for big corporations, special interest groups, and lobbyists. Join me in Spartanburg on Monday, February 17 for a conversation about climate and race. I hope to see you there!","governance, environmental, social cultural"
"Some candidates are flying to Silicon Valley right now to raise money from deep-pocketed donors. That’s not me, and that’s not our movement. I’m relying on 100% grassroots funding. Will you be a part of it? Rush a donation today.",no topic
Our movement needs critical funds so I can remain competitive in this race through Super Tuesday. Our goal is $7 million before the 22nd. Rush a donation today.,no topic
We’re seeing a huge influx of first-time donors in the weeks since voting and caucuses started. People are getting off the sidelines because they believe in our movement. Will you join them? Rush a donation before our deadline.,no topic
"Not one. Not two. But three super PACs are spending BIG to beat us right now – one is even running negative ads. That means we are being outspent, and Bernie needs your help if we’re going to win. Can you rush a contribution to our campaign today?",governance
"Can you rush a contribution to our campaign to help us fight back against a political establishment dead set on stopping our campaign? Now that we have won in Iowa and New Hampshire, they will do whatever it takes to stop us in the big and expensive states coming up, including Nevada, which votes in just a few days.",no topic
"In case you haven’t noticed, we are under attack – from the corporate media, from the Democratic establishment, from Buttigieg and Biden’s super PACs, and from the corporate media. And that is because they are getting very nervous that we are going to win. 

The truth is that we are in a very good position to win, but to do so, we need to have the resources to fight back, especially in Nevada, which votes in just a few days. Can you rush a contribution to our campaign?",governance
We've been waiting three years for this. Return your ballot today >>,no topic
"Early voting is new in your county this year, and it's easy to do. Don't wait until Election Day -- make a plan right now to vote early.",no topic
Change only happens when we all do our part. Return your ballot today!,no topic
"No stamp? No problem. Just make sure your ballot is postmarked by March 3, or drop it off at any vote center location in your county.",no topic
I'm proud to have worked alongside Kareemah Fowler to harness our shared values to help make South Bend a better place.,no topic
"If we can win in Nevada in just a few days we will put ourselves on a path to victory on Super Tuesday. But these have been some close races so far, and Pete Buttigieg, his super PAC and another establishment PAC are outspending us. 

Can you make a contribution to help us respond? The difference between victory and defeat in Nevada and the states that follow could be the donation you make today.",governance
"The best part of running for president is meeting Americans – whoever they are, wherever they are. Can you attend my meet and greet in Las Vegas on February 16? I hope to see you there!",no topic
Hey Nevada! Early voting is from February 15-18 and there's a location near you. Find your early voting site in your county by clicking here.,no topic
Hey Nevada! You can help elect Joe by voting early from February 15-18. Find your early voting location here.,no topic
"The best part of running for president is meeting Americans – whoever they are, wherever they are. Can you attend my meet and greet in Henderson on February 15? I hope to see you there!",no topic
"Team Tom is hosting a poll party on Tuesday, February 18 from 5pm-7pm! Come out to vote early and enjoy free tacos with Team Tom staff.

¡El Equipo Tom está celebrando en una casilla cerca de ti este martes, 18 de febrero de 5pm - 7pm! Ven a votar temprano y a disfrutar unos deliciosos tacos gratis con el Equipo Tom.",no topic
"Join Team Tom NV for a poll party on Tuesday, February 18 from 4pm - 6pm to cast your ballot. There will be a taco truck with free tacos!

¡Acompaña al Equipo Tom NV en la biblioteca del centro de Reno el martes, 18 de febrero de 4pm - 6pm para que votes temprano. ¡Tendremos deliciosos tacos gratis!",no topic
"Come join us for a poll party on Tuesday February 18! Drop by from 5pm-7pm to vote early and enjoy free tacos.

¡Ven y acompáñanos a festejar en las casillas el martes 18 de febrero! Vente de 5pm - 7pm para que votes temprano y disfrutes unos tacos gratis.",no topic
"Come join us for a poll party on Tuesday, February 18! Drop by from 5pm-7pm to cast your ballot, connect with fellow caucusers, and enjoy free tacos.

Ven y acompáñanos a festejar en las casillas el martes, 18 de febrero! Vente de las 5pm-7pm para que votes temprano, que conozcas a otros participantes del caucus y disfruta de unos deliciosos tacos gratis.",no topic
"Join presidential candidate Tulsi Gabbard for a town hall discussion in Fairfax, Virginia. Don't miss your chance to hear from Tulsi, the first female combat veteran to run for President. Ask a question, snap a photo and hear for yourself about her vision for the future. All are welcome. See you there!",no topic
"Joe Biden is coming to Las Vegas! We're hosting an Early Vote Event on Tuesday, February 18th! 

Join Joe, the AAPI Victory Fund, and the Nevada AAPI Leadership Council for an Early Vote Event at Harbor Palace Seafood Restaurant.",no topic
We can’t afford to bet on another insider or an untested newcomer this election. I’m a DC outsider and longtime activist with the business background to go head-to-head with Trump on his so-called strength: the economy. Join our campaign to beat Trump in 2020.,economic
"Pete Buttigieg says he can beat Donald Trump, but now isn't the time to take a risk on a newcomer. We need a candidate who can go head-to-head with Trump on his so-called strength: the economy. I'm the only candidate with the business background to expose Trump as a fraud on the economy. If you want to beat Trump in 2020, join our campaign.",economic
"This isn't the time to experiment with untested newcomers. We need someone who can go head-to-head with Trump on his so-called strength: the economy. As a true self-made businessman, I can expose Trump as a failed businessman and a failed president. Join our campaign to beat Trump in 2020.",economic
"Last quarter, Bernie Sanders, Pete Buttigieg, and Joe Biden all raised more money than our campaign did. And we need to start closing the gap. 

With the Nevada caucuses coming up on February 22, we can’t afford to fall short right now. This is the most critical period of time in this primary, and I need your support to help fund our organizing and advertising efforts. 

We can win. But starting the year behind the other campaigns means that we need to pick up the pace in the weeks to come. Will you chip in $5, $20 or whatever you can to help this campaign keep fighting?",no topic
"Last quarter, Bernie Sanders, Pete Buttigieg, and Joe Biden all raised more money than our campaign did. And we need to start closing the gap. 

With the Nevada caucuses coming up on February 22, we can’t afford to fall short right now. This is the most critical period of time in this primary, and I need your support to help fund our organizing and advertising efforts. 

I’m running to be the best president that money can’t buy. That means I’m not hosting any fundraisers where you can only meet me if you can write a check for $2,800. And I'm not taking any money from Washington lobbyists or PACs of any kind. 

I’ll be honest with you: when I made the decision to pass up the traditional ways of fundraising, I knew I’d be outraised by other candidates. But I know that the power of this grassroots movement is real and that we can beat everyone who's been rigging our economy and our government to only work for the wealthy and well-connected.

We can win. But starting the year behind the other campaigns means that we need to pick up the pace in the weeks to come. Will you chip in $5, $20 or whatever you can to help this campaign keep fighting?","governance, economic"
"Senator Harry Reid said about Elizabeth, “She had studied the financial world and had an insight into it that others didn’t have...When she talks, people listen.”

Middle class families deserve a champion in the White House, and Elizabeth has proven that she will be that champion. Vote early for Elizabeth today — click here to confirm where.",economic
"President Obama said about Elizabeth, “She has become perhaps the leading voice in our country on behalf of consumers.”

Senator Harry Reid said, “She had studied the financial world and had an insight into it that others didn’t have...When she talks, people listen.”

Middle class families deserve a champion in the White House, and Elizabeth has proven that she will be that champion. Vote early for Elizabeth today — click here to confirm where.",economic
"Nevadans believe in my track record of working with the people to build broad grassroots movements. Together, we've scored wins for clean energy in Nevada and provided healthy lunches for kids at public schools. As president, I'll continue pushing power to the people.","environmental, health, education"
"To take back the White House in 2020, we need a candidate who can turn out a diverse group of voters. I can deliver. My message is resonating among the Latino community in Nevada and beyond. They want a candidate with a track record of fighting with their communities for justice. If you're ready for a candidate who can build the diverse colatition we need to beat Donald Trump, join our campaign.",social cultural
"To beat Trump, we need a candidate who can appeal to voters of all backgrounds -- and I'm surging among African Americans in South Carolina. They know I'm not afraid to call for sweeping reforms to right the wrongs of the past, like reparations. Join our campaign to unite the Democratic Party and beat Trump.","social cultural, economic"
I've been visiting communities in South Carolina that no other candidates have visited. We're surging in the polls because South Carolinians know we'll make their voices heard in Washington.,no topic
"We've been on the ground in Nevada, talking to voters and spreading our message. As we head into the caucuses, more and more Nevadans are coming to our side. Help us keep the momentum going by joining our campaign today.",no topic
"California's winter has been alarmingly dry -- which puts the state at heightened risk for drought and wildfires. Climate change has increased the frequency of severe weather events in California, and if we don't take meaningful action now, the situation will only get worse. I'm the only candidate who will declare a national climate emergency on day one. Join our campaign for action on the climate crisis.",environmental
"Washington nunca se ha sentido tan lejos de nuestro día a día y estamos listo para construir un futuro definido por la unidad. 

Esta es nuestra oportunidad.",no topic
"To beat Trump, we need a candidate who can put together a diverse coalition -- and my message is resonating with women of all backgrounds. They trust my track record of investing in women-owned businesses, speaking out against our sexist president, and calling for full reproductive justice and pay equity. If you're ready to unite the Democratic Party and beat Donald Trump, join our campaign today.","social cultural, health, economic"
"By 2100, scientists predict flooding will threaten $150 billion in property along the California coast, far surpassing damages from the state's worst wildfire season. We need a candidate who will take immediate action on the climate crisis -- and I'm the only candidate who will declare a national climate emergency on day one. If you're ready for real action on the climate crisis, join our campaign.","environmental, economic"
"Sea levels are rising along California's coast at an alarming rate. A new report says that any action -- or lack thereof -- in the next 10 years could make or break the future of the California coast. I'm the only candidate who will say the climate crisis is my top priority, and I'll declare a national climate emergency on day one. Join our campaign today.",environmental
"Nevadans are voting for me because they know I'm the best candidate to beat Trump, tackle the climate crisis, and push power back to the people. Will you join them?",environmental
"For generations Black Americans have been expected to fight twice as hard for the same opportunities available to white Americans, and the legacy of systemic racism has been ignored or denied. We need systemic action to reverse these harms.",social cultural
"We're holding a town hall in Las Vegas on Tuesday, February 18th! RSVP to join us!",no topic
"We're holding a rally in Vegas on Sunday, February 16th! RSVP to join us!",no topic
"""U.S. Rep. Steven Horsford, the only black member of Nevada’s congressional delegation, is endorsing Joe Biden for president on the eve of early voting in the state’s caucuses.

“The Democrat said in a statement shared with The Associated Press on Friday that the former vice president ‘is ready to do the job of president on day one’ and said 'Joe knows Nevada.’"" - Associated Press News",no topic
"I will always stand on the side of workers and organized labor. We must take back the government from the corporations that bought it, and together, I know we can do it. Together, the future is ours.",economic
"We're holding a rally in Sparks on Sunday, February 16th! RSVP to join us!",no topic
"South Carolinians are coming to my side because I'm different than the other candidates. When they meet me, they see I'm a Washington outsider who's fiercely committed to ending the status quo and pushing power back to the people. Join our growing campaign today.",no topic
"Come hear from Presidential candidate Tulsi Gabbard in Richmond Virginia! Ask questions, snap a photo and see for yourself why she is the best choice for our next President! Tulsi is the first female combat veteran to run for President. Don't miss your chance to hear her vision for a brighter future for all Americans, before voting in Virginia. All are welcome!",no topic
"Every Democratic candidate is better than Trump on health care, economic justice, and climate -- but unless we can beat him, no topic of that matters. Trump thinks he can win this election on the economy, and I'm the only candidate with the business background to take him on. Join our campaign to beat Trump in 2020.","health, economic, environmental"
"With the world facing a climate crisis, the people of Nevada face a choice: to protect our planet, working people, immigrants, and future generations, or to settle for the status quo which protects fossil fuel profits above all else.","environmental, economic, immigration"
"Bernie nunca ha olvidado las raíces inmigrantes de su familia, y es por eso que siempre ha luchado por NOSOTROS. Y ahora es el momento de luchar con él. Por favor, venga y participe en el caucus con nuestra campaña el sabado 22 de febrero",no topic
"South Carolinians are coming to my side because I'm saying something different than the other candidates. For one, I'm the only candidate who has come out in support of reparations. If you're ready for an outsider who will end business as usual in Washington and fight for the people, join our campaign.","social cultural, economic"
"I’m so grateful for the support of this grassroots team, but our movement needs critical funds so I can remain competitive through Super Tuesday.

We’re setting an ambitious goal of raising $7 million before the Nevada caucuses on Saturday. Now, this is our biggest goal yet, but I believe this grassroots movement can do it.

Chip in $3, $20, or whatever you can right now so we can reach our $7 million goal and continue to grow our movement.",no topic
"Necesitamos que TU seas una de las decenas de miles de residentes de Nevads que participen en el caucus por Bernie el sabado 22 de febrero. O la forma más rápida y fácil de emitir su voto es votar temprano entre el 15 y el 18 de febrero. Si tienes alguna pregunta sobre cómo y dónde hacerlo, haz clic en el siguiente enlace.",no topic
"I want to make sure we're hearing directly from you about which issues affect your life. 

Please take a minute to fill out our survey.",no topic
"The primary election is underway, and the most rewarding part has been hearing from voters about what issues are affecting their lives.

That's why I hope you'll take a moment to fill out our new survey and let me know what issues you care about.",no topic
Please take a moment to fill out our new issues survey and let me know what issues matter the most to you in this election.,no topic
"Necesitamos una economía que genere más resultados. 

Es hora de dejar atrás el pasado y asegurar que todos tengan oportunidades verdaderas.",no topic
"This election is personal. 

This is our chance to turn the page on the cynicism and helplessness that we see coming out of Washington and do something better.",no topic
"Para nosotros los estadounidenses, esta elección es personal. 

Esta es nuestra oportunidad para dejar atrás el cinísmo y la incapacidad que vemos en Washington, y hacer algo mejor.",no topic
"Did you know: Elizabeth won the most votes in both the bluest county AND the reddest county in Iowa during the Iowa caucuses. 

The results in Iowa prove what this grassroots movement believes — that Elizabeth is the candidate that can unite our party and defeat Donald Trump. 

There are a lot of caucuses and primaries coming up soon, with a lot of delegates on the line, and these are our LAST moments to make a difference before it’s too late. Chip in $2, $20, or whatever you can spare to keep Elizabeth going.",no topic
"On February 22nd, we have the chance to turn the page to a future defined by belonging, boldness, and action.

This is our moment.",no topic
"El 22 de febrero, tenemos la oportunidad de dar un paso hacia un futuro definido por la pertenencia, la audacia y la acción. 

Este es nuestro momento.",no topic
"La crisis de cambio climático amenaza a esta generación de americanos y a las próximas, aunque vivan en la costa o en el interior. 

Es hora de dejar atrás el pasado y enfrentar el reto de nuestro tiempo con la urgencia y unidad que requiere.",no topic
"""In so many ways this election is about having faith.

“The faith that our leaders serve us and not their own interests. The faith that our nation’s character is stronger than fear and hate. The faith that together, we can become something greater.
 
“Joe has always been a man of faith — and one with faith in the boundless potential of everyone who makes America great. And that’s why Joe is the best person to be a president for all Americans."" - Dr. Jill Biden",no topic
"El derecho de la mujer sobre su propio cuerpo está siendo atacado en todo el país. Como presidente, voy a defender los derechos de las mujeres para tomar sus propias decisiones con respecto a su salud.",no topic
"Recibir atención médica en Estados Unidos es demasiado caro, complicado y frustrante. 

Es hora de dejar atrás el pasado y arreglar nuestro obsoleto sistema de salud pública.",no topic
"Es hora de asegurar que todos los niños tengan acceso a una educación que los empodere para vivir la vida que quieran – sin importar su raza, origen o código postal.",no topic
"Mi plan, Medicare para Todos Que lo Quieran, confía en ti para que tu mismo tomes las decisiones sobre cuál es el plan de salud que más te conviene a ti y tu familia.",no topic
"Joe Biden beat the NRA twice. He got assault weapons banned for ten years and helped set up the first system of background checks on gun sales. If you want to stop the NRA once and for all, caucus for Joe Biden -- the only candidate who’s beaten the NRA before.",safety
"My plan, Medicare for All Who Want It, trusts you to make decisions about which health plan is best for you and your family.","health, social programs"
"12 years ago, Edith Childs popularized the Obama campaign's famous slogan: ""Fired up! Ready to Go!"" Now, I'm honored to announce that she has endorsed me for president. She knows it'll take a fired-up outsider to beat Donald Trump.",no topic
"The Nevada caucuses are coming up on February 22. If we want to take back our democracy, we need everyone to show up. Make your caucus plan today.",no topic
"All too often, the disability community is left out of the discussion around health care. Yet, health care costs are often devastating for people with disabilities and their families. We need to make affordable, quality health care a right for everyone.","social cultural, health, social programs"
"I'm having a HUGE rally in Las Vegas, Nevada on Friday, February 21st at 12PM! I'd love to see you there! Get your free tickets here.",no topic
"Get Your Tickets NOW! HUGE LAS VEGAS, NEVADA RALLY FRIDAY, FEBRUARY 21ST AT 12pm

President Trump asked us to invite YOU to his campaign rally in LAS VEGAS, NEVADA on Friday, February 21st.

LAST CHANCE: Seats are going fast!",no topic
"Every single candidate on the last debate stage except for  me is either a self-funding billionaire, or is receiving help from super PACs that can dump unlimited spending into this primary. 

To me, that’s not how you build a campaign that fights for working people. If you agree with me, please pitch in $2, $20, or whatever you can right now to help our campaign reach our goal before the Nevada caucuses.","governance, economic"
"Las Vegas: President Trump is having a rally FRIDAY, FEBRUARY 21ST AT 12PM & he wants you there! Get your free tickets now >>>",no topic
Liam will be cheering for Tom on February 22nd. Will you join him by committing to caucus for Tom today?,no topic
Caucus Day can get hectic. Make your plan for February 22 today!,no topic
Tom is counting on your support on February 22. Make your Caucus Day plan now!,no topic
Don't sit this one out: We need everyone to show up to caucus. Make a plan right now to get to your caucus on February 22.,no topic
February 22 is Caucus Day! Make a plan and mark it on your calendar now.,no topic
This is the most important election of our lifetimes. Make sure you're at the Nevada caucuses on February 22.,no topic
"On February 29th, we have the chance to turn the page to a future defined by belonging, boldness, and action.

This is our moment.",no topic
"All of the Democratic candidates vying for your support want to put an end to Trump’s cruel attacks on health care and bring the peace of mind of health coverage to every American. But I am the only one running who has actually gotten big, bold health reform done.
 
Nevadans need a president who understands that the worst thing you could do for people struggling with a health crisis is destroy the Affordable Care Act. I believe the best way forward is to build on Obamacare with a Medicare-like public option for every single American who wants it.","health, social programs"
"Nevadans, I'm counting on you to come out and caucus this Saturday, February 22!",no topic
Trump thinks he can win this election on the economy. I'm the only candidate with the business background to take him on. Join our campaign to beat Trump in 2020.,economic
"Here’s what Trump doesn’t understand: when immigrants thrive, America thrives. As president, I’ll end human rights abuses in the immigration system and fight for a path to citizenship for the millions of undocumented immigrants that have been contributing to this country for years.",immigration
"I've been involved in grassroots movements in Nevada for years. My nonprofit NextGen America helped Democrats win key races in the Silver State, and in 2018, I was instrumental in passing a measure to raise Nevada's clean energy standards. When I say I'm committed to the people of Nevada, I mean it.",environmental
We're sending free buttons to our supporters in Nevada! Get yours today.,no topic
"Edith Childs is no stranger to rallying people around a winning cause. She's the woman behind Obama's popular campaign slogan, ""Fired Up! Ready to go!"" Now, I'm honored to receive her endorsement for president. She knows we need a different kind of candidate to beat Donald Trump in 2020.",no topic
Your caucus location may have changed since 2016!,no topic
Let's ruin Donald Trump's day by shattering turnout records at the Democratic caucus.,governance
"Come join us for a poll party on Tuesday, February 18! Drop by from 5pm-7pm to vote early and enjoy free tacos.

Ven y acompáñanos a festejar en las casillas el martes, 18 de febrero! Llega de las 5pm - 7pm para que votes temprano y disfrutes de unos deliciosos tacos gratis.",no topic
"Big news! We’re close to reaching one million individual donors.

Hitting this donor goal would help us secure the resources needed to maintain our momentum through Super Tuesday. That's why we've set a goal to raise $50,000 from your state by midnight tonight. Can you chip in to get us there?",no topic
"Big news! We’re close to hitting one million individual donors.

This is an important milestone for our campaign—one that started without the fundraising lists of a sitting senator, a former vice president, or someone who has run for president before. 

We need to hit this before Super Tuesday on March 3rd in order to run the types of programs we need to win across the country. That's why we've set a goal to raise $50,000 from your state by midnight tonight. Please chip in to help us get there.",no topic
"Right now, our number one goal is reaching undecided voters wherever they may be, and with the Nevada Caucuses so soon, we cannot afford to leave even a single vote on the table. That's why we've set a goal to raise $50,000 from your state by midnight tonight. Can you chip in to get us there?",no topic
"We're in our final push before the Nevada Caucuses and we can’t afford to fall behind—not in a race this tight. That's why we've set a goal to raise $50,000 from your state by midnight tonight. Can you chip in to get us there?",no topic
ICYMI: SC Rep. JA Moore endorsed Pete Buttigieg for president. Here's what he told CNN ⤵️,no topic
We've been waiting three years for this day. Make a plan to caucus February 22.,no topic
"Almost half of the states will raise their minimum wages in the new year — but South Carolina will not. For a decade, South Carolina’s minimum wage has been stuck at the federal minimum: $7.25. It’s time to raise the minimum wage to $15. If you’re with me, sign on to our campaign.",economic
"Throughout our history, immigrants have brought their culture, experiences, and expertise to our shores. As president, I'll protect immigrant workers, partner with state and local governments to support immigrant communties, and ensure that immigrant communities are included in the democratic process. Join me in giving immigrants the tools to help themselves, their communities, and our entire nation thrive.","immigration, governance, economic"
"Throughout our history, immigrants have brought their culture, experiences, and expertise to our shores. Join me in giving immigrants the tools to help themselves, their communities, and our entire nation thrive.",immigration
"I make exactly one promise to anybody who donates to our campaign: I'm going to take that contribution and use it to defeat Donald Trump. 

These donations are more critical now than ever before. We don't take any money from corporate PACs or federal lobbyists. Please chip in today and join our movement.",governance
Please chip in if you're ready to turn the page on the divisiveness and dysfunction of our current politics and send Trumpism into the dustbin of history.,no topic
I am ready to defeat Donald Trump and turn the page to a new American era. But we are going to need every dollar and person to pitch in because this is our only chance to beat him. Please chip in to join our movement.,no topic
"Corporate greed and generations-long racist policies have thrown millions of Americans into a housing crisis that threatens our economy, health, and sense of belonging.

I’m proud to put forward my plan to build housing justice in America.","economic, social cultural, health"
"""I was very encouraged by the coalition that Pete was able to put together in Iowa and New Hampshire. He has a lot of momentum coming in to Nevada and South Carolina.""

-SC Rep. JA Moore on his endorsement of Pete Buttigieg",no topic
Para derrotar a Donald Trump debemos construir un movimiento donde todos sienten que pertenecen.,no topic
"In order to defeat Donald Trump, we must build a movement where everybody belongs.",no topic
"We're building the coalition that can beat Trump in November, but we must hit our next fundraising goal so we can fund the programs needed to win across the country. Can you please chip in to help us maintain our momentum?",no topic
"We're in this for the long haul and need your support more than ever as we work to get our message to every corner of the country. 

Please chip in and join our movement.",no topic
We're fighting an uphill battle. We're competing against sitting senators and a former vice president—we must keep up so that every American has a chance to hear our message before they cast their ballot or caucus. Can you chip in so that we have the resources we need for the long haul?,no topic
"If you want a candidate with a track record of fighting for climate justice, working to end cash bail, protecting immigrant rights, and investing in communities of color, join our campaign.","environmental, safety, immigration, social cultural"
"I have a track record of investing in black communities and fighting with them for justice. I'm the only candidate who has come out in support of reparations, and as president, I'll invest $125 billion in HBCUs. If you want a candidate who will make black voices heard in Washington, join our campaign.","social cultural, education"
Are you in for TeamTom in South Carolina? Let us know and we'll send you a button to say thanks!,no topic
Tom is counting on YOU: Make a plan to caucus!,no topic
"Tulsi will be in Boulder, Colorado on Thursday for a town hall discussion. Tulsi is the first female combat veteran to run for President. She is running to restore our government to be one that is truly of, by, and for the people. We hope to see you there!",no topic
"Tulsi will be in Colorado Springs on Wednesday for a town hall discussion. Tulsi is the first female combat veteran to run for President. She is running to restore our government to be one that is truly of, by, and for the people. We hope to see you there!",no topic
"I need to ask you once again for your financial support. I am in Nevada where we are seeing a LOT of super PAC ads attacking us as well as ads from Pete Buttigieg and his super PAC. Collectively, the establishment is outspending us 5-1 here, and with only a few days left before the caucus, we cannot allow ourselves to be drowned out. 

Can you rush a contribution to help us respond?",governance
We are being outspent 5-1 in Nevada right now and time is running out to catch up. Can you rush a contribution to our campaign to help us win the Nevada caucus on Saturday?,no topic
Time is running out to make a donation and have it go toward helping us win Nevada. Contribute today and we’ll rush your donation to help fund our victory in Saturday’s caucus. Please hurry.,no topic
"Can you rush a contribution to our campaign to help us fight back against the billionaires trying to buy the Nevada caucus? This week alone in Nevada, we are being outspent almost 5-1 by billionaire-backed campaigns and super PACs. And the truth is, time is running out for us to close this spending gap.",governance
"Can you make a contribution to our campaign to help us catch up to Pete Buttigieg, his super PAC, and other billionaire-funded groups which together are massively outspending us in Nevada?",governance
"We are taking on the Republican establishment.

We are taking on the Democratic establishment.

We are taking on billionaires, super PACs, the corporate media, and the whole damn 1 percent.

And so far are winning. But if we are going to win Nevada on Saturday, we need a lot more donations right now. As soon as possible. Can you step up, make a donation, and put us in a position to win this election and transform this country?",governance
"I am asking you once again for your financial support so that we can WIN the Nevada caucus this week. We are doing very well, but Pete Buttigieg’s billionaire-funded campaign, his super PAC, and another Democratic establishment group are spending big to defeat us. The only way that we will be able to keep our momentum is with lots and lots of small donations from people like you.",governance
"If we do well in Nevada, we could be on a path to win this nomination. Our opponents know that too; that’s why multiple super PACs are spending to beat us. So Bernie needs your help. Can you add a contribution to our campaign to help us win the Nevada caucus?",governance
Zip code shouldn't determine the quality of education a child receives. I have a plan to triple funding to low-income students and invest $100B to upgrade school facilities. Join our campaign to ensure every child has access to a world-class education.,"education, economic"
"Elizabeth Warren is coming to Colorado! She will be hosting an event in Denver on Sunday, February 23 as we build our movement for 2020. We'd love to see you there!",no topic
"Elizabeth Warren is coming to Washington! She will be hosting an event in Seattle on Saturday, February 22 as we build our movement for 2020. We'd love to see you there!",no topic
"Trump is trying to win this election on the economy, but here's the truth: his economy only works for the rich. Unlike Trump, I'm a real self-made businessman with years of experience fighting for social justice. I'll end Trump's tax cuts for the wealthy and the corporations, which means we can give a 10% tax cut to 95% of Americans.","economic, social cultural"
"When Nevadans hear my message, they get on board. They're ready for a DC outsider to beat Trump on the economy, tackle the climate crisis, and clean up Washington.","economic, environmental"
"We’re not just taking on Donald Trump or our democratic opponents. We’re taking on the entire political establishment. But we know we can win, because we are building an unprecedented grassroots movement of millions of people. Join us and sign up to caucus with us.",no topic
"We're holding a rally in the Valley on Friday, February 21st! RSVP to join us!",no topic
"Every single candidate on the last debate stage except for me is either a self-funding billionaire, or is receiving help from super PACs that can dump unlimited spending into this primary. 

To me, that’s not how you build a campaign that fights for working people. If you agree with me, please pitch in $2, $20, or whatever you can right now to help our campaign reach our goal before the Nevada caucuses.",governance
"Elizabeth will invest in American research and workers, create more than 10 million jobs, fight for a Green New Deal and save our planet.

Vote early for Elizabeth today. Click here to confirm where.","economic, environmental"
Great News: Prime Minister Boris Johnson has just been moved out of Intensive Care. Get well Boris!!!,"health, COVID"
I've seen firsthand how hard our educators work for little pay and with few resources. They deserve better. It's time we support our educators by giving them the pay and dignity they deserve.,"education, economic"
"We are at a point in time where we have to rethink education. Technology is changing everything—how we interact, how we get news. These forces are incredibly powerful... We’ve become connected as global communities— but a lot of communities have been left behind, especially in rural Iowa. It’s  putting stress on our education and health care systems and young people have to leave and go to big cities. We also have a tremendous imbalance in skills in this country. We have to deal with education so all ages can get jobs. We have to create collaboration with private sector employers. We need life long skills building, which is what is going on here. Climate change is a huge problem and a threat multiplier because it will cause migration trends; but most of the world is dependent on fossil fuels. Most countries around world have no alternative to fossil fuel. We need transformative innovation in producing, transporting and storing energy.","education, health, economic, environmental, immigration"
"I will host a Keep America Great rally on Thursday, October 17 at 7:00 pm CDT at the American Airlines Center in Dallas, TX!

JOIN US: bit.ly/2ON2zqn",no topic
"We've got one shot to make Donald Trump a one-term president, and how we, the candidates, talk about one another really matters. Tearing each other down because we have different plans is unacceptable. I've seen this script before. It didn't work in 2016, and it will be a disaster for us in 2020.",no topic
Communities across the country are feeling the impact of climate change. My plan will help cities like Charleston prepare for natural disasters and minimize damage to homes: p4a.us/infrastructure,environmental
"Health care is one of the biggest issues in this election. As president, I will ensure health care is a right, not a privilege — and give everyone the peace of mind they deserve. Read my full plan: joebiden.com/healthcare.","health, social programs"
CA25 is a Rigged Election. Trying to steal it from Mike Garcia. Gavin Newsom must act now!,governance
"“Scandal has defined the Obama Administration.” Lisa Boothe, Fox & Friends Weekend.",no topic
"MAX Red line in Oregon is set to receive $99.99M in USDOT funds to reduce delays in the Portland area, connect citizens to very important locations, and make transit GREAT!",economic
"Q&A IN IOWA: We must defeat Trump, the most dangerous president in history. But we have to do more than that. Our job is to create a government based on compassion, not hate and greed. Join us live from West Des Moines, Iowa:",no topic
"It’s official! We’re on the ballot for the first-in-the-nation primary in New Hampshire. Thank you to all who helped us get through this first big step, including our amazing #Cory2020 organizers and staff—we’re just getting started. #fitn",no topic
"For too many Americans, the difference between an emergency and a tragedy is the distance between them and their nearest hospital. It’s time to secure access for all: p4a.us/rural-health","health, social programs"
